id,name,acronym,red,green,blue,depth,parent_id,parent_acronym,collapse,structure_id_path,in .nrrd,consider,collapse_logical
997,root,root,0,0,0,0,,,0,/997/,TRUE,1,0
1009,fiber tracts,fiber tracts,0,0,0,1,997,root,1,/997/1009/,TRUE,0,1
1000,extrapyramidal fiber systems,eps,0,0,0,2,1009,fiber tracts,0,/997/1009/1000/,FALSE,0,0
736,central tegmental bundle,ctb,0,0,0,3,1000,eps,0,/997/1009/1000/736/,FALSE,0,0
760,cerebral nuclei related,epsc,0,0,0,3,1000,eps,0,/997/1009/1000/760/,FALSE,0,0
102,nigrostriatal tract,nst,0,0,0,4,760,epsc,0,/997/1009/1000/760/102/,TRUE,0,0
109,nigrothalamic fibers,ntt,0,0,0,4,760,epsc,0,/997/1009/1000/760/109/,FALSE,0,0
134,pallidotegmental fascicle,ptf,0,0,0,4,760,epsc,0,/997/1009/1000/760/134/,FALSE,0,0
142,pallidothalamic pathway,pap,0,0,0,4,760,epsc,0,/997/1009/1000/760/142/,FALSE,0,0
309,striatonigral pathway,snp,0,0,0,4,760,epsc,0,/997/1009/1000/760/309/,FALSE,0,0
317,subthalamic fascicle,stf,0,0,0,4,760,epsc,0,/997/1009/1000/760/317/,FALSE,0,0
855,retriculospinal tract,rst,0,0,0,3,1000,eps,0,/997/1009/1000/855/,FALSE,0,0
205,"retriculospinal tract, lateral part",rstl,0,0,0,4,855,rst,0,/997/1009/1000/855/205/,FALSE,0,0
213,"retriculospinal tract, medial part",rstm,0,0,0,4,855,rst,0,/997/1009/1000/855/213/,FALSE,0,0
863,rubrospinal tract,rust,0,0,0,3,1000,eps,0,/997/1009/1000/863/,TRUE,0,0
221,rubroreticular tract,rrt,0,0,0,4,863,rust,0,/997/1009/1000/863/221/,FALSE,0,0
397,ventral tegmental decussation,vtd,0,0,0,4,863,rust,0,/997/1009/1000/863/397/,TRUE,0,0
877,tectospinal pathway,tsp,0,0,0,3,1000,eps,0,/997/1009/1000/877/,FALSE,0,0
1043,crossed tectospinal pathway,tspc,0,0,0,4,877,tsp,0,/997/1009/1000/877/1043/,TRUE,0,0
1051,direct tectospinal pathway,tspd,0,0,0,4,877,tsp,0,/997/1009/1000/877/1051/,TRUE,0,0
1060,doral tegmental decussation,dtd,0,0,0,4,877,tsp,0,/997/1009/1000/877/1060/,TRUE,0,0
941,vestibulospinal pathway,vsp,0,0,0,3,1000,eps,0,/997/1009/1000/941/,FALSE,0,0
484682512,supra-callosal cerebral white matter,scwm,0,0,0,2,1009,fiber tracts,0,/997/1009/484682512/,TRUE,0,0
960,cerebellum related fiber tracts,cbf,0,0,0,2,1009,fiber tracts,0,/997/1009/960/,FALSE,0,0
728,arbor vitae,arb,0,0,0,3,960,cbf,0,/997/1009/960/728/,TRUE,0,0
744,cerebellar commissure,cbc,0,0,0,3,960,cbf,0,/997/1009/960/744/,TRUE,0,0
752,cerebellar peduncles,cbp,0,0,0,3,960,cbf,0,/997/1009/960/752/,FALSE,0,0
1123,inferior cerebellar peduncle,icp,0,0,0,4,752,cbp,0,/997/1009/960/752/1123/,TRUE,0,0
490,bulbocerebellar tract,bct,0,0,0,5,1123,icp,0,/997/1009/960/752/1123/490/,FALSE,0,0
404,olivocerebellar tract,oct,0,0,0,6,490,bct,0,/997/1009/960/752/1123/490/404/,FALSE,0,0
410,reticulocerebellar tract,rct,0,0,0,6,490,bct,0,/997/1009/960/752/1123/490/410/,FALSE,0,0
499,cuneocerebellar tract,cct,0,0,0,5,1123,icp,0,/997/1009/960/752/1123/499/,FALSE,0,0
553,dorsal spinocerebellar tract,sctd,0,0,0,5,1123,icp,0,/997/1009/960/752/1123/553/,TRUE,0,0
650,juxtarestiform body,jrb,0,0,0,5,1123,icp,0,/997/1009/960/752/1123/650/,FALSE,0,0
326,superior cerebelar peduncles,scp,0,0,0,4,752,cbp,0,/997/1009/960/752/326/,TRUE,0,0
812,superior cerebellar peduncle decussation,dscp,0,0,0,5,326,scp,0,/997/1009/960/752/326/812/,TRUE,0,0
85,spinocerebellar tract,sct,0,0,0,6,812,dscp,0,/997/1009/960/752/326/812/85/,FALSE,0,0
850,uncinate fascicle,uf,0,0,0,5,326,scp,0,/997/1009/960/752/326/850/,TRUE,0,0
866,ventral spinocerebellar tract,sctv,0,0,0,5,326,scp,0,/997/1009/960/752/326/866/,TRUE,0,0
373,trigeminocerebellar tract,tct,0,0,0,4,752,cbp,0,/997/1009/960/752/373/,FALSE,0,0
78,middle cerebellar peduncle,mcp,0,0,0,4,752,cbp,0,/997/1009/960/752/78/,TRUE,0,0
967,cranial nerves,cm,0,0,0,2,1009,fiber tracts,0,/997/1009/967/,FALSE,0,0
710,abducens nerve,VIn,0,0,0,3,967,cm,0,/997/1009/967/710/,FALSE,0,0
717,accessory spinal nerve,XIn,0,0,0,3,967,cm,0,/997/1009/967/717/,FALSE,0,0
792,dorsal roots,drt,0,0,0,3,967,cm,0,/997/1009/967/792/,FALSE,0,0
932,cervicothalamic tract,cett,0,0,0,4,792,drt,0,/997/1009/967/792/932/,FALSE,0,0
514,dorsal column,dc,0,0,0,5,932,cett,0,/997/1009/967/792/932/514/,FALSE,0,0
380,cuneate fascicle,cuf,0,0,0,6,514,dc,0,/997/1009/967/792/932/514/380/,TRUE,0,0
388,gracile fascicle,grf,0,0,0,6,514,dc,0,/997/1009/967/792/932/514/388/,FALSE,0,0
396,internal arcuate fibers,iaf,0,0,0,6,514,dc,0,/997/1009/967/792/932/514/396/,FALSE,0,0
522,dorsal commissure of the spinal cord,dcm,0,0,0,5,932,cett,0,/997/1009/967/792/932/522/,FALSE,0,0
570,dorsolateral fascicle,dl,0,0,0,5,932,cett,0,/997/1009/967/792/932/570/,FALSE,0,0
586,fasciculus proprius,fpr,0,0,0,5,932,cett,0,/997/1009/967/792/932/586/,FALSE,0,0
697,medial lemniscus,ml,0,0,0,5,932,cett,0,/997/1009/967/792/932/697/,TRUE,0,0
858,ventral commissure of the spinal cord,vc,0,0,0,5,932,cett,0,/997/1009/967/792/932/858/,FALSE,0,0
798,facial nerve,VIIn,0,0,0,3,967,cm,0,/997/1009/967/798/,TRUE,0,0
1116,genu of the facial nerve,gVIIn,0,0,0,4,798,VIIn,0,/997/1009/967/798/1116/,TRUE,0,0
1131,intermediate nerve,iVIIn,0,0,0,4,798,VIIn,0,/997/1009/967/798/1131/,FALSE,0,0
808,glossopharyngeal nerve,IXn,0,0,0,3,967,cm,0,/997/1009/967/808/,FALSE,0,0
813,hypoglossal nerve,XIIn,0,0,0,3,967,cm,0,/997/1009/967/813/,FALSE,0,0
832,oculomotor nerve,IIIn,0,0,0,3,967,cm,0,/997/1009/967/832/,TRUE,0,0
158,posterior commissure,pc,0,0,0,4,832,IIIn,0,/997/1009/967/832/158/,TRUE,0,0
62,medial longitudinal fascicle,mlf,0,0,0,4,832,IIIn,0,/997/1009/967/832/62/,TRUE,0,0
840,olfactory nerve,In,0,0,0,3,967,cm,0,/997/1009/967/840/,FALSE,0,0
1016,olfactory nerve layer of main olfactory bulb,onl,0,0,0,4,840,In,0,/997/1009/967/840/1016/,TRUE,0,0
21,"lateral olfactory tract, general",lotg,0,0,0,4,840,In,0,/997/1009/967/840/21/,FALSE,0,0
459,accessory olfactory tract,aolt,0,0,0,5,21,lotg,0,/997/1009/967/840/21/459/,FALSE,0,0
538,dorsal limb,lotd,0,0,0,5,21,lotg,0,/997/1009/967/840/21/538/,TRUE,0,0
665,"lateral olfactory tract, body",lot,0,0,0,5,21,lotg,0,/997/1009/967/840/21/665/,TRUE,0,0
900,"anterior commissure, olfactory limb",aco,0,0,0,4,840,In,0,/997/1009/967/840/900/,TRUE,0,0
848,optic nerve,IIn,0,0,0,3,967,cm,0,/997/1009/967/848/,TRUE,0,0
117,optic chiasm,och,0,0,0,4,848,IIn,0,/997/1009/967/848/117/,TRUE,0,0
125,optic tract,opt,0,0,0,4,848,IIn,0,/997/1009/967/848/125/,TRUE,0,0
336,superior colliculus commissure,csc,0,0,0,4,848,IIn,0,/997/1009/967/848/336/,TRUE,0,0
357,tectothalamic pathway,ttp,0,0,0,4,848,IIn,0,/997/1009/967/848/357/,FALSE,0,0
876,accessory optic tract,aot,0,0,0,4,848,IIn,0,/997/1009/967/848/876/,FALSE,0,0
916,brachium of the superior colliculus,bsc,0,0,0,4,848,IIn,0,/997/1009/967/848/916/,TRUE,0,0
871,spinothalamic tract,sst,0,0,0,3,967,cm,0,/997/1009/967/871/,FALSE,0,0
245,spinocervical tract,scrt,0,0,0,4,871,sst,0,/997/1009/967/871/245/,FALSE,0,0
253,spinohypothalamic pathway,shp,0,0,0,4,871,sst,0,/997/1009/967/871/253/,FALSE,0,0
261,spino-olivary pathway,sop,0,0,0,4,871,sst,0,/997/1009/967/871/261/,FALSE,0,0
270,spinoreticular pathway,srp,0,0,0,4,871,sst,0,/997/1009/967/871/270/,FALSE,0,0
277,spinotectal pathway,stp,0,0,0,4,871,sst,0,/997/1009/967/871/277/,FALSE,0,0
285,spinotelenchephalic pathway,step,0,0,0,4,871,sst,0,/997/1009/967/871/285/,FALSE,0,0
627,hypothalamohypophysial tract,hht,0,0,0,5,285,step,0,/997/1009/967/871/285/627/,FALSE,0,0
29,lateral spinothalamic tract,sttl,0,0,0,4,871,sst,0,/997/1009/967/871/29/,FALSE,0,0
293,spinovestibular pathway,svp,0,0,0,4,871,sst,0,/997/1009/967/871/293/,FALSE,0,0
389,ventral spinothalamic tract,sttv,0,0,0,4,871,sst,0,/997/1009/967/871/389/,FALSE,0,0
885,terminal nerve,tn,0,0,0,3,967,cm,0,/997/1009/967/885/,FALSE,0,0
901,trigeminal nerve,Vn,0,0,0,3,967,cm,0,/997/1009/967/901/,FALSE,0,0
229,sensory root of the trigeminal nerve,sV,0,0,0,4,901,Vn,0,/997/1009/967/901/229/,TRUE,0,0
705,midbrain tract of the trigeminal nerve,mtV,0,0,0,5,229,sV,0,/997/1009/967/901/229/705/,FALSE,0,0
794,spinal tract of the trigeminal nerve,sptV,0,0,0,5,229,sV,0,/997/1009/967/901/229/794/,TRUE,0,0
93,motor root of the trigeminal nerve,moV,0,0,0,4,901,Vn,0,/997/1009/967/901/93/,TRUE,0,0
911,trochlear nerve,IVn,0,0,0,3,967,cm,0,/997/1009/967/911/,TRUE,0,0
384,trochlear nerve decussation,IVd,0,0,0,4,911,IVn,0,/997/1009/967/911/384/,FALSE,0,0
917,vagus nerve,Xn,0,0,0,3,967,cm,0,/997/1009/967/917/,FALSE,0,0
237,solitary tract,ts,0,0,0,4,917,Xn,0,/997/1009/967/917/237/,TRUE,0,0
925,ventral roots,vrt,0,0,0,3,967,cm,0,/997/1009/967/925/,FALSE,0,0
933,vestibulocochlear nerve,VIIIn,0,0,0,3,967,cm,0,/997/1009/967/933/,FALSE,0,0
1076,efferent cochleovestibular bundle,cvb,0,0,0,4,933,VIIIn,0,/997/1009/967/933/1076/,FALSE,0,0
413,vestibular nerve,vVIIIn,0,0,0,4,933,VIIIn,0,/997/1009/967/933/413/,TRUE,0,0
948,cochlear nerve,cVIIIn,0,0,0,4,933,VIIIn,0,/997/1009/967/933/948/,FALSE,0,0
482,brachium of the inferior colliculus,bic,0,0,0,5,948,cVIIIn,0,/997/1009/967/933/948/482/,TRUE,0,0
506,dorsal acoustic stria,das,0,0,0,5,948,cVIIIn,0,/997/1009/967/933/948/506/,TRUE,0,0
633,inferior colliculus commissure,cic,0,0,0,5,948,cVIIIn,0,/997/1009/967/933/948/633/,TRUE,0,0
641,intermediate acoustic stria,ias,0,0,0,5,948,cVIIIn,0,/997/1009/967/933/948/641/,FALSE,0,0
658,lateral lemniscus,ll,0,0,0,5,948,cVIIIn,0,/997/1009/967/933/948/658/,TRUE,0,0
841,trapezoid body,tb,0,0,0,5,948,cVIIIn,0,/997/1009/967/933/948/841/,TRUE,0,0
949,vomeronasal nerve,von,0,0,0,3,967,cm,0,/997/1009/967/949/,TRUE,0,0
983,lateral forebrain bundle system,lfbs,0,0,0,2,1009,fiber tracts,0,/997/1009/983/,FALSE,0,0
776,corpus callosum,cc,0,0,0,3,983,lfbs,0,/997/1009/983/776/,FALSE,0,0
